concept,n_sentences_with,n_both,both_mean,n_only_one,only_one_mean,n_neither,neither_mean,binding,p_one_sided
ULTIMATE,51,1102,0.27163814018377375,13412,0.19229058760450146,34861,0.20628520732272787,0.07934755257927228,0.0
SUBSTRATE,14,80,0.2775115270167589,4156,0.22785247791128474,45139,0.20161056699419722,0.04965904910547417,0.004
AWARENESS,21,186,0.4442896324620452,6117,0.2401273457461489,43072,0.19776556366884693,0.2041622867158963,0.0
WORLD,36,579,0.2854168139484957,9922,0.2121545564631962,38874,0.20063284867540507,0.07326225748529952,0.0
SELF,3,2,0.23608367145061493,907,0.20180865838228343,48466,0.20398098839219403,0.0342750130683315,0.25263157894736843
RECOGNITION,11,50,0.25710722267627717,3253,0.18462883991833753,46072,0.20524835532478605,0.07247838275793964,0.0005
NONSEP,0,0,nan,0,nan,49375,0.20394238387669283,nan,nan
