concept,n_with,both_mean,only_one_mean,n_both,n_only_one,binding,p_one_sided,p_two_sided,n_perm
ULTIMATE,522,0.24462103843688965,0.17032693326473236,118611,1661178,0.07429410517215729,0.0,0.0,2000
SUBSTRATE,5,0.22332894802093506,0.17485475540161133,4,17992,0.04847419261932373,0.092,0.152,2000
AWARENESS,25,0.3104560971260071,0.18991400301456451,153,89694,0.12054209411144257,0.0,0.0,2000
WORLD,75,0.23178811371326447,0.1670241504907608,2294,261412,0.06476396322250366,0.0,0.0,2000
SELF,16,0.23978455364704132,0.17402280867099762,78,57444,0.0657617449760437,0.0,0.0,2000
RECOGNITION,26,0.2730507254600525,0.18301823735237122,246,96508,0.09003248810768127,0.0,0.0,2000
NONSEP,0,nan,nan,0,0,nan,nan,nan,2000
