tradition,ULTIMATE,SUBSTRATE,AWARENESS,WORLD,SELF,RECOGNITION,NONSEP,total_passages
advaita,42,0,0,4,20,4,0,93
analytic,40,2,0,0,0,0,0,150
catholic_scholastic,17,3,0,0,5,0,0,100
christian_mystical,12,3,0,0,0,0,0,76
daoism,62,1,0,0,0,0,0,77
humean,27,0,0,0,1,0,0,100
kantian,15,5,1,1,1,0,0,100
reformed_theology,4,0,0,0,0,0,0,50
spinozist,7,1,0,0,0,0,0,50
sufi,10,0,0,0,0,3,0,93
theravada,3,0,0,0,0,14,0,31
