concept,n_passages_with,n_both_have,both_have_mean,both_have_sd,n_only_one_has,only_one_has_mean,only_one_has_sd,n_neither_has,neither_has_mean,concept_binding,p_one_sided,n_perm
ULTIMATE,239,24176,0.36116149465275804,0.08403359928253987,148463,0.35325513882020376,0.08634932626064817,206829,0.3488399238601998,0.00790635583255428,0.006,2000
SUBSTRATE,15,88,0.43352557011079873,0.13138392279568428,12169,0.37939510858271414,0.09657858498439274,367211,0.35040334100818726,0.054130461528084595,0.0015,2000
AWARENESS,1,0,nan,nan,820,0.3874124072562403,0.0964544251700638,378648,0.35127425051108185,nan,nan,0
WORLD,5,4,0.42332817957466523,0.019284214205866648,4120,0.3744260146468416,0.07865710486859155,375344,0.3510983047242182,0.04890216492782362,0.0595,2000
SELF,27,151,0.34578438079153107,0.06467885906545483,21978,0.3581353960441026,0.08038732154165365,357339,0.3509375058577805,-0.01235101525257154,0.926,2000
RECOGNITION,21,110,0.4646283440876702,0.08775512556693822,18015,0.3546008068695084,0.08399837567782081,361343,0.35115590430108345,0.11002753721816178,0.0,2000
NONSEP,0,0,nan,nan,0,nan,nan,379468,0.3513523421776546,nan,nan,0
