concept,n_with,both_mean,only_one_mean,n_both,n_only_one,binding,p_one_sided,p_two_sided,n_perm
ULTIMATE,522,0.2589675115817477,0.21186668772316034,118611,1661178,0.047100823858587354,0.0,0.0,2000
SUBSTRATE,5,0.2842821091792321,0.23129636407735596,4,17992,0.05298574510187612,0.04,0.0555,2000
AWARENESS,25,0.3151550295516393,0.23283006272938794,153,89694,0.08232496682225138,0.0,0.0,2000
WORLD,75,0.27209048671978986,0.22093247898227653,2294,261412,0.051158007737513334,0.0,0.0,2000
SELF,16,0.2549814176577158,0.2236951530426306,78,57444,0.03128626461508521,0.0055,0.007,2000
RECOGNITION,26,0.27848022538255485,0.2175133859144236,246,96508,0.06096683946813125,0.0,0.0,2000
NONSEP,0,nan,nan,0,0,nan,nan,nan,2000
