concept,n_sentences_with,n_both,both_mean,n_only_one,only_one_mean,n_neither,neither_mean,binding,p_one_sided
ULTIMATE,51,1102,0.3047209363656365,13412,0.23790387945299993,34861,0.24560209319379844,0.06681705691263659,0.0
SUBSTRATE,14,80,0.32026875154829987,4156,0.2688776810707894,45139,0.2424827030123288,0.05139107047751046,0.0015
AWARENESS,21,186,0.3731002643209798,6117,0.25924988954759304,43072,0.24222872516719088,0.11385037477338678,0.0
WORLD,36,579,0.34575714942020935,9922,0.26363913828096,38874,0.23852659758166353,0.08211801113924938,0.0
SELF,3,2,0.21399730302905362,907,0.23330001965173963,48466,0.2450475129265338,-0.01930271662268601,0.6365914786967418
RECOGNITION,11,50,0.31094749946648537,3253,0.22877385453776494,46072,0.2458924107949058,0.08217364492872042,0.0
NONSEP,0,0,nan,0,nan,49375,0.24483045820612806,nan,nan
