concept,n_passages_with,n_both_have,both_have_mean,both_have_sd,n_only_one_has,only_one_has_mean,only_one_has_sd,n_neither_has,neither_has_mean,concept_binding,p_one_sided,n_perm
ULTIMATE,36,554,0.32825327797654985,0.09168211509175375,3768,0.2711824433463395,0.08443177633096571,5427,0.29899764201591084,0.05707083463021034,0.0,2000
SUBSTRATE,10,42,0.36040303895091724,0.07694815215327275,1290,0.30780016014201406,0.08930374795839736,8417,0.2868158288617355,0.052602878808903186,0.0095,2000
AWARENESS,19,154,0.4194871979416374,0.10413288868354548,2303,0.30614043611188085,0.08921216531965187,7292,0.2820468339138358,0.11334676182975656,0.0,2000
WORLD,32,468,0.37518691793358244,0.09624946543736469,3451,0.2983294069025768,0.09395458576791937,5830,0.27807988077781387,0.07685751103100563,0.0,2000
SELF,3,2,0.23151789122747718,0.025379414782144775,405,0.28902697834035024,0.08317613453856686,9342,0.2899602872766075,-0.05750908711287306,0.8953953953953954,1998
RECOGNITION,9,33,0.33208250460457145,0.09043553894889104,1153,0.2527952849650757,0.08117097649021048,8563,0.2947443979366671,0.07928721963949575,0.001,2000
NONSEP,0,0,nan,nan,0,nan,nan,9749,0.28990952566913164,nan,nan,0
