tradition,ULTIMATE,SUBSTRATE,AWARENESS,WORLD,SELF,RECOGNITION,NONSEP,total_passages
advaita,80,0,15,17,20,8,0,93
analytic,42,2,7,53,0,2,0,150
catholic_scholastic,87,3,1,9,5,5,0,100
christian_mystical,59,3,5,19,0,3,0,76
daoism,68,1,1,13,0,1,0,77
humean,34,0,2,22,1,0,0,100
kantian,27,5,17,10,1,0,0,100
reformed_theology,46,0,1,10,0,12,0,50
spinozist,25,1,1,4,0,0,0,50
sufi,81,0,2,13,0,6,0,93
theravada,13,0,0,0,0,14,0,31
