concept,n_passages_with,n_both_have,both_have_mean,both_have_sd,n_only_one_has,only_one_has_mean,only_one_has_sd,n_neither_has,neither_has_mean,concept_binding,p_one_sided,n_perm
ULTIMATE,562,140325,0.35469877677772654,0.08253901666204014,186644,0.3405835771846993,0.08885928556963328,52499,0.3806926522424189,0.014115199593027261,0.0,2000
SUBSTRATE,15,88,0.43352557011079873,0.13138392279568428,12169,0.37939510858271414,0.09657858498439274,367211,0.35040334100818726,0.054130461528084595,0.0015,2000
AWARENESS,52,1052,0.391696716663688,0.08421430399757433,40548,0.3659318682267951,0.0891572026816074,337868,0.3494770154103969,0.025764848436892918,0.0005,2000
WORLD,170,12161,0.3791404638445308,0.0910600636400057,114093,0.35753678212705814,0.08991705187802702,253214,0.34723119305186306,0.021603681717472678,0.0,2000
SELF,27,151,0.34578438079153107,0.06467885906545483,21978,0.3581353960441026,0.08038732154165365,357339,0.3509375058577805,-0.01235101525257154,0.926,2000
RECOGNITION,51,1061,0.37267385527794744,0.08298249557072737,41357,0.3480009510713481,0.08137871888760535,337050,0.35169644945130574,0.024672904206599344,0.0005,2000
NONSEP,0,0,nan,nan,0,nan,nan,379468,0.3513523421776546,nan,nan,0
